Team,Season,id,firstName,lastName,sweaterNumber,positionCode,city,country,latitude,longitude
TOR,20242025,8477939,William,Nylander,88,R,Calgary,CAN,51.0456064,-114.057541
WPG,20242025,8477940,Nikolaj,Ehlers,27,L,Aalborg,DEN,57.0462626,9.9215263
LAK,20242025,8477942,Kevin,Fiala,22,L,St. Gallen,SUI,47.425618,9.3762397
WSH,20242025,8477944,Jakub,Vrana,13,L,Prague,CZE,50.0596288,14.4464593
DET,20242025,8477946,Dylan,Larkin,71,C,Waterford,USA,41.358659,-72.1519367
WSH,20242025,8477947,Sonny,Milano,15,L,Massapequa,USA,40.6761472,-73.4696557
PHI,20242025,8477948,Travis,Sanheim,6,D,Elkhorn,CAN,49.9753411,-101.2365875
BUF,20242025,8477949,Alex,Tuch,89,R,Syracuse,USA,43.0481221,-76.1474244
UTA,20242025,8477951,Nick,Schmaltz,8,C,Madison,USA,43.074761,-89.3837613
ANA,20242025,8477952,Robby,Fabbri,13,C,Mississauga,CAN,43.5896231,-79.6443879
STL,20242025,8477953,Kasperi,Kapanen,42,R,Kuopio,FIN,62.8924601,27.6781839
SEA,20242025,8477955,Jared,McCann,19,L,Stratford,CAN,43.3700899,-80.9818016
BOS,20242025,8477956,David,Pastrnak,88,R,Havirov,CZE,49.7801136,18.4368451
